"","new_id","gameId","season","week","homeTeamAbbr","visitorTeamAbbr","playResult","passC","passI","passIN","passR","passS","opp_playResult","opp_passC","opp_passI","opp_passIN","opp_passR","opp_passS","home.hurried","home.hit","home.sacked","home.hitAllowed","home.hurryAllowed","home.sackallowed","opp.hurried","opp.hit","opp.sacked","opp.hitAllowed","opp.hurryAllowed","opp.sackallowed","Home_Win","until_home_playResult","until_home_passC","until_home_passI","until_home_passIN","until_home_passR","until_home_passS","until_home_home.hurried","until_home_home.hit","until_home_home.sacked","until_home_home.hitAllowed","until_home_home.hurryAllowed","until_home_home.sackallowed","until_opp_opp_playResult","until_opp_opp_passC","until_opp_opp_passI","until_opp_opp_passIN","until_opp_opp_passR","until_opp_opp_passS","until_opp_opp.hurried","until_opp_opp.hit","until_opp_opp.sacked","until_opp_opp.hitAllowed","until_opp_opp.hurryAllowed","until_opp_opp.sackallowed"
"1","1_ATL_1_PHI",2021091200,2021,1,"ATL","PHI",117,23,17,0,1,3,179,18,6,0,4,1,14,7,3,4,12,3,9,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1_BUF_1_PIT",2021091201,2021,1,"BUF","PIT",213,28,22,0,2,3,152,10,12,1,1,2,24,8,3,6,20,1,6,3,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1_CAR_1_NYJ",2021091202,2021,1,"CAR","NYJ",229,18,11,0,0,1,213,19,17,1,0,5,9,7,1,7,6,1,21,5,6,2,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1_CIN_1_MIN",2021091203,2021,1,"CIN","MIN",211,16,6,0,0,5,261,31,15,0,0,3,4,2,5,1,2,4,16,5,4,4,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","1_DET_1_SF",2021091204,2021,1,"DET","SF",336,38,22,1,3,3,296,15,5,0,1,1,25,6,3,5,23,2,6,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","1_HOU_1_JAX",2021091205,2021,1,"HOU","JAX",307,16,13,0,2,1,299,22,21,3,0,1,16,6,1,2,13,0,14,4,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1_IND_1_SEA",2021091206,2021,1,"IND","SEA",223,20,12,0,3,4,237,16,4,0,2,3,11,6,6,4,7,4,9,3,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","1_KC_1_CLE",2021091209,2021,1,"KC","CLE",321,22,10,0,3,2,241,17,7,1,2,2,18,4,3,3,13,2,7,3,2,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","1_LA_1_CHI",2021091213,2021,1,"LA","CHI",260,15,6,0,0,1,198,24,9,1,2,3,8,2,1,1,6,1,11,0,3,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1_LV_1_BAL",2021091300,2021,1,"LV","BAL",440,31,22,1,2,3,267,16,11,0,6,3,22,5,3,5,10,2,20,5,3,4,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
